ori,des,path,len,time_step,ori_node,des_node,generated_trajectory_nodes
240,159,240_244_151_85_292_293_294_296_203_190_397_350_237_305_348_143_167_407_157_159,20,200,133,93,133_116_71_218_72_227_93
230,294,230_408_419_76_271_388_311_31_267_56_35_151_85_292_293_294,16,200,127,167,
240,159,240_244_151_85_292_293_294_296_203_190_397_350_237_305_348_143_167_407_157_159,20,200,133,93,133_116_71_218_72_227_93
29,206,29_328_240_244_151_85_292_293_294_296_203_191_396_204_206,15,200,15,112,
328,170,328_240_244_151_85_292_293_294_296_203_190_397_350_237_305_348_143_167_407_157_159_170,22,200,183,198,
29,170,29_328_240_244_151_85_292_293_294_296_203_190_397_350_237_305_348_143_167_407_157_159_170,23,200,15,198,
127,146,127_61_325_29_328_240_244_151_85_292_293_294_296_203_190_397_350_237_305_348_142_144_146,23,200,68,80,
61,170,61_325_29_328_240_244_151_85_292_293_294_296_203_190_397_350_237_305_348_143_167_407_157_159_170,25,200,31,198,
127,170,127_61_325_29_328_240_244_151_85_292_293_294_296_203_190_397_350_237_305_348_143_167_407_157_159_170,26,200,68,198,
46,141,46_321_26_29_328_240_244_151_85_292_293_294_296_203_190_397_350_237_305_349_290_365_404_195_141,25,200,25,75,
45,168,45_46_321_26_29_328_240_244_151_85_292_293_294_296_203_190_397_350_237_305_348_143_166_163_168,25,200,24,80,
125,195,125_127_61_325_29_328_240_244_151_85_292_293_294_296_203_190_397_350_237_305_349_290_365_404_195,25,200,67,76,
64,396,64_46_321_26_29_328_240_244_151_85_292_293_294_296_203_191_396,17,200,33,113,33_181_30_31_1_2_11_70_71_218_72_104_194_101_102_103_221_112_113
243,141,243_212_25_252_244_151_85_292_293_294_296_203_190_397_351_337_181_183_185_177_404_195_141,23,200,134,75,
64,290,64_46_321_26_29_328_240_244_151_85_292_293_294_296_203_190_397_350_237_305_349_290,22,200,33,204,33_181_14_204
321,78,321_26_29_328_240_245_37_54_358_341_342_71_345_282_78,15,200,179,128,
64,170,64_46_321_26_29_328_240_244_151_85_292_293_294_296_203_190_397_350_237_305_348_143_167_407_157_159_170,27,200,33,198,
243,395,243_212_25_252_244_151_85_292_293_294_296_203_190_398_393_395,16,200,134,242,
138,170,138_405_171_243_212_25_252_244_151_85_292_293_294_296_203_190_397_350_237_305_348_143_167_407_157_159_170,27,200,73,198,
405,169,405_172_356_362_193_185_177_404_194_173_143_167_407_157_159_169,16,200,228,88,
268,12,268_357_323_319_314_49_313_300_27_65_326_60_128_126_12,15,200,148,66,
271,12,271_388_311_31_268_357_323_319_314_49_313_300_27_65_326_60_128_126_12,19,200,150,66,
405,170,405_172_356_362_193_185_177_404_194_173_143_167_407_157_159_170,16,200,228,198,
172,170,172_356_362_193_185_177_404_194_173_143_167_407_157_159_170,15,200,94,198,
